date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:39	5543/5543	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Oct%202024%2022:21:42%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/logo.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/logo.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:39	17894/17894	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2016:29:44%20GMT	https://tanshcreative.com/olyve-st-preview/articles.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/articles.html	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:40	13332/13332	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Oct%202024%2000:50:36%20GMT	https://tanshcreative.com/olyve-st-preview/article-single.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/article-single.html	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:40	8854/8854	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2005:32:56%20GMT	https://tanshcreative.com/olyve-st-preview/404.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/404.html	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:40	22087/22087	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2017:52:10%20GMT	https://tanshcreative.com/olyve-st-preview/elements.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/elements.html	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:41	19884/19884	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Oct%202024%2001:03:08%20GMT	https://tanshcreative.com/olyve-st-preview/portfolio-single.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/portfolio-single.html	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:41	158633/158633	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Oct%202024%2018:37:16%20GMT	https://fonts.gstatic.com/s/e/notoemoji/latest/2728/512.gif	C:/Users/pc/Documents/Portfolio/fonts.gstatic.com/s/e/notoemoji/latest/2728/512.gif	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:42	25515/25515	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Oct%202024%2017:34:46%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/about-photo.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/about-photo.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:42	68512/68512	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202024%2021:40:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-img2.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-img2.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:42	125522/125522	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202024%2021:40:04%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-img1.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-img1.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:44	4924/4924	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2021:23:44%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/about-small.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/about-small.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:45	194783/194783	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202024%2021:40:18%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-img4.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-img4.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:45	106077/106077	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202024%2021:40:14%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-img3.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-img3.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:45	294814/294814	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Oct%202024%2018:37:16%20GMT	https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b/512.gif	C:/Users/pc/Documents/Portfolio/fonts.gstatic.com/s/e/notoemoji/latest/1f44b/512.gif	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:45	1277/1277	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:24:06%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo1.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo1.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:45	1370/1370	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:24:38%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo2.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo2.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:46	1231/1231	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:24:46%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo3.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo3.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:46	1902/1902	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:24:58%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo4.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo4.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:46	1707/1707	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:25:06%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo5.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo5.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:47	1731/1731	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:25:14%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo6.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo6.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:47	1538/1538	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2023:25:26%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo7.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo7.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:47	715/715	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2005:23:22%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo8.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo8.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:48	1074/1074	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2005:23:48%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo9.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo9.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:48	874/874	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2005:23:56%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo10.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo10.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:48	723/723	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2005:24:12%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo11.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo11.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:49	463/463	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2005:24:20%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/sm-logo12.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/sm-logo12.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:49	1878/1878	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:24:12%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/testm-user1.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/testm-user1.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:50	1981/1981	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:24:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/testm-user2.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/testm-user2.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:50	1696/1696	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:24:02%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/testm-user3.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/testm-user3.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:51	99120/99120	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:16:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/post-img1.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/post-img1.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:52	111779/111779	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:16:16%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/post-img3.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/post-img3.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:53	144489/144489	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:16:12%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/post-img2.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/post-img2.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:54	530202/530202	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Oct%202024%2018:37:16%20GMT	https://fonts.gstatic.com/s/e/notoemoji/latest/270c_fe0f/512.gif	C:/Users/pc/Documents/Portfolio/fonts.gstatic.com/s/e/notoemoji/latest/270c_fe0f/512.gif	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:54	87535/87535	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Feb%202024%2007:10:58%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/jquery.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/jquery.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:54	60540/60540	---M--	200	added ('OK')	application/javascript	date:Sun,%2017%20Mar%202024%2004:04:30%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/bootstrap.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/bootstrap.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:55	98519/98519	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2020:16:20%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/post-img4.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/post-img4.jpg	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:55	15523/15523	---M--	200	added ('OK')	application/javascript	date:Sun,%2017%20Mar%202024%2004:15:34%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/menu.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/menu.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:55	22002/22002	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202024%2002:42:32%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/slicknav.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/slicknav.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:56	151667/151667	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202024%2006:00:04%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/swiper-bundle.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/swiper-bundle.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:56	16597/16597	---M--	200	added ('OK')	application/javascript	date:Fri,%2026%20Apr%202024%2023:27:12%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/venobox.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/venobox.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:56	39772/39772	---M--	200	added ('OK')	application/javascript	date:Sun,%2017%20Mar%202024%2004:09:58%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/forms.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/forms.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:56	1575/1575	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Feb%202024%2006:51:32%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/appear.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/appear.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:57	1025/1025	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Feb%202024%2006:42:06%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/count-to.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/count-to.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:57	7291/7291	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202024%2001:13:32%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/custom.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/custom.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:57	5496/5496	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Jan%202024%2005:19:06%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/imagesloaded.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/imagesloaded.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:58	24111/24111	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Jan%202024%2005:16:30%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/masonry.min.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/masonry.min.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:58	35456/35456	---M--	200	added ('OK')	application/javascript	date:Fri,%2027%20Aug%202021%2016:35:42%20GMT	https://tanshcreative.com/olyve-st-preview/assets/js/isotope.js	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/js/isotope.js	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:58	39028/39028	---M--	200	added ('OK')	font/ttf	date:Thu,%2015%20Aug%202024%2005:32:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/fonts/icomoon.ttf	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/fonts/icomoon.ttf	(from https://tanshcreative.com/olyve-st-preview/assets/fonts/iconfont.css)
08:41:59	39104/39104	---M--	200	added ('OK')	font/woff	date:Thu,%2015%20Aug%202024%2005:32:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/fonts/icomoon.woff	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/fonts/icomoon.woff	(from https://tanshcreative.com/olyve-st-preview/assets/fonts/iconfont.css)
08:41:59	1105/1105	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Jan%202023%2002:32:06%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/select-arrow-dark.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/select-arrow-dark.png	(from https://tanshcreative.com/olyve-st-preview/assets/css/style.css)
08:41:59	121945/121945	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Aug%202024%2005:32:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/fonts/icomoon.svg?qgu4gw	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/fonts/icomoon683a.svg	(from https://tanshcreative.com/olyve-st-preview/assets/fonts/iconfont.css)
08:42:00	154041/154041	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202024%2000:17:56%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/post-details-img.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/post-details-img.jpg	(from https://tanshcreative.com/olyve-st-preview/article-single.html)
08:42:00	102868/102868	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2005:45:16%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-details-img1.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-details-img1.jpg	(from https://tanshcreative.com/olyve-st-preview/portfolio-single.html)
08:42:01	141262/141262	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2005:46:46%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/folio-details-img2.jpg	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/folio-details-img2.jpg	(from https://tanshcreative.com/olyve-st-preview/portfolio-single.html)
